SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
FungiDB-39_AfumigatusA1163_Genome	55	29205420	1044	4896001	3180	531007.64	4	3791214	8	1844026	49.36	99.7	99.6	0.1	0.1	0.2	3546
FungiDB-39_AfumigatusAf293_Genome	9	29420142	31765	4918979	3927224	3268904.67	4	3948441	7	2058334	48.79	99.7	99.5	0.2	0.1	0.2	3546
FungiDB-41_AfischeriNRRL181_Genome	438	31770017	1006	6287576	1390	72534.29	4	2929192	10	1027979	49.54	99.9	99.6	0.3	0.0	0.1	3546
